No.,Time,Source,Destination,Protocol,Length,Info
27,33.923069,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,107,"Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
28,38.838794,0.0.0.0,255.255.255.255,DHCP,356,DHCP Discover - Transaction ID 0xe57d4442
29,46.389431,0.0.0.0,255.255.255.255,DHCP,356,DHCP Discover - Transaction ID 0xe57d4442
30,49.923269,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,107,"Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
31,59.367988,0.0.0.0,255.255.255.255,DHCP,356,DHCP Discover - Transaction ID 0xe57d4442
32,61.815888,::,ff02::16,ICMPv6,130,Multicast Listener Report Message v2
33,62.495874,::,ff02::16,ICMPv6,130,Multicast Listener Report Message v2
34,80.393216,fe80::66db:8bff:fe21:4ccf,ff02::fb,MDNS,754,"Standard query response 0x0000 TXT, cache flush PTR _http._tcp.local PTR HIKVISION DS-2CD2020F-I - 154590743._http._tcp.local TXT, cache flush PTR _psia._tcp.local PTR HIKVISION DS-2CD2020F-I - 154590743._psia._tcp.local TXT, cache flush PTR _CGI._tcp.local PTR HIKVISION DS-2CD2020F-I - 154590743._CGI._tcp.local SRV, cache flush 0 0 80 DS-2CD2020F-I20171222AAWR154590743.local SRV, cache flush 0 0 80 DS-2CD2020F-I20171222AAWR154590743.local SRV, cache flush 0 0 80 DS-2CD2020F-I20171222AAWR154590743.local PTR, cache flush DS-2CD2020F-I20171222AAWR154590743.local PTR, cache flush DS-2CD2020F-I20171222AAWR154590743.local A, cache flush 192.168.100.64 AAAA, cache flush fe80::66db:8bff:fe21:4ccf NSEC, cache flush HIKVISION DS-2CD2020F-I - 154590743._http._tcp.local NSEC, cache flush HIKVISION DS-2CD2020F-I - 154590743._psia._tcp.local NSEC, cache flush HIKVISION DS-2CD2020F-I - 154590743._CGI._tcp.local NSEC, cache flush 64.100.168.192.in-addr.arpa NSEC, cache flush F.C.C.4.1.2.E.F.F.F.B.8.B.D.6.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush DS-2CD2020F-I20171222AAWR154590743.local"
35,199.419879,192.168.100.102,224.0.0.251,MDNS,247,"Standard query response 0x0000 TXT, cache flush NSEC, cache flush Simonaâ\200\231s MacBook Pro (2)._companion-link._tcp.local"
36,199.419909,fe80::477:3b00:1d91:56cf,ff02::fb,MDNS,267,"Standard query response 0x0000 TXT, cache flush NSEC, cache flush Simonaâ\200\231s MacBook Pro (2)._companion-link._tcp.local"
37,200.419311,192.168.100.102,224.0.0.251,MDNS,247,"Standard query response 0x0000 TXT, cache flush NSEC, cache flush Simonaâ\200\231s MacBook Pro (2)._companion-link._tcp.local"
38,200.419341,fe80::477:3b00:1d91:56cf,ff02::fb,MDNS,267,"Standard query response 0x0000 TXT, cache flush NSEC, cache flush Simonaâ\200\231s MacBook Pro (2)._companion-link._tcp.local"
39,202.423911,192.168.100.102,224.0.0.251,MDNS,247,"Standard query response 0x0000 TXT, cache flush NSEC, cache flush Simonaâ\200\231s MacBook Pro (2)._companion-link._tcp.local"
40,202.423932,fe80::477:3b00:1d91:56cf,ff02::fb,MDNS,267,"Standard query response 0x0000 TXT, cache flush NSEC, cache flush Simonaâ\200\231s MacBook Pro (2)._companion-link._tcp.local"
41,206.423379,192.168.100.102,224.0.0.251,MDNS,247,"Standard query response 0x0000 TXT, cache flush NSEC, cache flush Simonaâ\200\231s MacBook Pro (2)._companion-link._tcp.local"
42,206.4234,fe80::477:3b00:1d91:56cf,ff02::fb,MDNS,267,"Standard query response 0x0000 TXT, cache flush NSEC, cache flush Simonaâ\200\231s MacBook Pro (2)._companion-link._tcp.local"
43,361.843899,::,ff02::16,ICMPv6,90,Multicast Listener Report Message v2
44,361.897685,0.0.0.0,255.255.255.255,DHCP,356,DHCP Discover - Transaction ID 0xdd23dd39
45,362.075893,::,ff02::1:ffd5:cdf,ICMPv6,86,Neighbor Solicitation for fe80::5bcc:698e:39d5:cdf
46,362.655891,::,ff02::16,ICMPv6,90,Multicast Listener Report Message v2
47,363.103937,fe80::5bcc:698e:39d5:cdf,ff02::16,ICMPv6,90,Multicast Listener Report Message v2
48,363.115895,fe80::5bcc:698e:39d5:cdf,ff02::16,ICMPv6,90,Multicast Listener Report Message v2
49,363.165992,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,212,"Standard query 0x0000 ANY f.d.c.0.5.d.9.3.e.8.9.6.c.c.b.5.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY sniffy.local, ""QM"" question AAAA fe80::5bcc:698e:39d5:cdf PTR sniffy.local"
50,363.206232,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,107,"Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
51,363.416617,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,212,"Standard query 0x0000 ANY f.d.c.0.5.d.9.3.e.8.9.6.c.c.b.5.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY sniffy.local, ""QM"" question AAAA fe80::5bcc:698e:39d5:cdf PTR sniffy.local"
52,363.667715,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,212,"Standard query 0x0000 ANY f.d.c.0.5.d.9.3.e.8.9.6.c.c.b.5.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY sniffy.local, ""QM"" question AAAA fe80::5bcc:698e:39d5:cdf PTR sniffy.local"
53,363.776834,fe80::5bcc:698e:39d5:cdf,ff02::2,ICMPv6,62,Router Solicitation
54,363.807876,fe80::5bcc:698e:39d5:cdf,ff02::16,ICMPv6,90,Multicast Listener Report Message v2
55,363.868502,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,200,"Standard query response 0x0000 PTR, cache flush sniffy.local AAAA, cache flush fe80::5bcc:698e:39d5:cdf"
56,363.935885,fe80::5bcc:698e:39d5:cdf,ff02::16,ICMPv6,110,Multicast Listener Report Message v2
57,364.206518,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,107,"Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
58,364.878849,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,200,"Standard query response 0x0000 PTR, cache flush sniffy.local AAAA, cache flush fe80::5bcc:698e:39d5:cdf"
59,364.936982,0.0.0.0,255.255.255.255,DHCP,356,DHCP Discover - Transaction ID 0xdd23dd39
60,366.20761,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,107,"Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
61,366.888821,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,200,"Standard query response 0x0000 PTR, cache flush sniffy.local AAAA, cache flush fe80::5bcc:698e:39d5:cdf"
62,367.890301,0.0.0.0,255.255.255.255,DHCP,356,DHCP Discover - Transaction ID 0xdd23dd39
63,370.208221,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,107,"Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
64,372.380058,0.0.0.0,255.255.255.255,DHCP,356,DHCP Discover - Transaction ID 0xdd23dd39
65,378.209067,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,107,"Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
66,383.854035,0.0.0.0,255.255.255.255,DHCP,356,DHCP Discover - Transaction ID 0xdd23dd39
67,384.41194,0.0.0.0,255.255.255.255,DHCP,412,DHCP Discover - Transaction ID 0x23068330
68,384.412666,Ubiquiti_43:93:d5,Broadcast,ARP,60,Who has 192.168.100.118? Tell 192.168.100.1
69,385.403116,Ubiquiti_43:93:d5,Broadcast,ARP,60,Who has 192.168.100.118? Tell 192.168.100.1
70,385.413372,192.168.100.1,192.168.100.118,DHCP,342,DHCP Offer    - Transaction ID 0x23068330
71,385.414351,0.0.0.0,255.255.255.255,DHCP,418,DHCP Request  - Transaction ID 0x23068330
72,385.415603,192.168.100.1,192.168.100.118,DHCP,342,DHCP ACK      - Transaction ID 0x23068330
73,385.558778,fe80::217:88ff:fe75:b382,ff02::16,ICMPv6,190,Multicast Listener Report Message v2
74,385.789647,fe80::217:88ff:fe75:b382,ff02::16,ICMPv6,190,Multicast Listener Report Message v2
75,386.367817,::,ff02::1:ff00:1,ICMPv6,78,Neighbor Solicitation for fd8b:dc9b:130b::1
76,386.403035,Ubiquiti_43:93:d5,Broadcast,ARP,60,Who has 192.168.100.118? Tell 192.168.100.1
77,386.558708,fe80::217:88ff:fe75:b382,ff02::16,ICMPv6,90,Multicast Listener Report Message v2
78,386.588182,fe80::217:88ff:fe75:b382,ff02::16,ICMPv6,90,Multicast Listener Report Message v2
79,387.089896,fe80::217:88ff:fe75:b382,ff02::16,ICMPv6,90,Multicast Listener Report Message v2
80,387.58862,fe80::217:88ff:fe75:b382,ff02::16,ICMPv6,90,Multicast Listener Report Message v2
81,387.589112,192.168.100.118,224.0.0.251,MDNS,485,"Standard query 0x0000 ANY _hap._tcp.local, ""QU"" question ANY Philips-hue.local, ""QU"" question ANY Philips hue - 75B382._hap._tcp.local, ""QU"" question PTR Philips hue - 75B382._hap._tcp.local TXT SRV 0 0 8080 Philips-hue.local A 192.168.100.118 AAAA fe80::217:88ff:fe75:b382"
82,387.589362,fe80::217:88ff:fe75:b382,ff02::fb,MDNS,505,"Standard query 0x0000 ANY _hap._tcp.local, ""QU"" question ANY Philips-hue.local, ""QU"" question ANY Philips hue - 75B382._hap._tcp.local, ""QU"" question PTR Philips hue - 75B382._hap._tcp.local TXT SRV 0 0 8080 Philips-hue.local A 192.168.100.118 AAAA fe80::217:88ff:fe75:b382"
83,387.839487,192.168.100.118,224.0.0.251,MDNS,485,"Standard query 0x0000 ANY _hap._tcp.local, ""QU"" question ANY Philips-hue.local, ""QU"" question ANY Philips hue - 75B382._hap._tcp.local, ""QU"" question PTR Philips hue - 75B382._hap._tcp.local TXT SRV 0 0 8080 Philips-hue.local A 192.168.100.118 AAAA fe80::217:88ff:fe75:b382"
84,387.839524,fe80::217:88ff:fe75:b382,ff02::fb,MDNS,505,"Standard query 0x0000 ANY _hap._tcp.local, ""QU"" question ANY Philips-hue.local, ""QU"" question ANY Philips hue - 75B382._hap._tcp.local, ""QU"" question PTR Philips hue - 75B382._hap._tcp.local TXT SRV 0 0 8080 Philips-hue.local A 192.168.100.118 AAAA fe80::217:88ff:fe75:b382"
85,387.998138,fe80::217:88ff:fe75:b382,ff02::16,ICMPv6,90,Multicast Listener Report Message v2
86,388.089829,192.168.100.118,224.0.0.251,MDNS,485,"Standard query 0x0000 ANY _hap._tcp.local, ""QU"" question ANY Philips-hue.local, ""QU"" question ANY Philips hue - 75B382._hap._tcp.local, ""QU"" question PTR Philips hue - 75B382._hap._tcp.local TXT SRV 0 0 8080 Philips-hue.local A 192.168.100.118 AAAA fe80::217:88ff:fe75:b382"
87,388.089856,fe80::217:88ff:fe75:b382,ff02::fb,MDNS,505,"Standard query 0x0000 ANY _hap._tcp.local, ""QU"" question ANY Philips-hue.local, ""QU"" question ANY Philips hue - 75B382._hap._tcp.local, ""QU"" question PTR Philips hue - 75B382._hap._tcp.local TXT SRV 0 0 8080 Philips-hue.local A 192.168.100.118 AAAA fe80::217:88ff:fe75:b382"
88,388.350437,192.168.100.118,224.0.0.251,MDNS,459,"Standard query response 0x0000 PTR Philips hue - 75B382._hap._tcp.local TXT, cache flush SRV, cache flush 0 0 8080 Philips-hue.local A, cache flush 192.168.100.118 AAAA, cache flush fe80::217:88ff:fe75:b382 A, cache flush 192.168.100.118 AAAA, cache flush fe80::217:88ff:fe75:b382"
89,388.350472,fe80::217:88ff:fe75:b382,ff02::fb,MDNS,479,"Standard query response 0x0000 PTR Philips hue - 75B382._hap._tcp.local TXT, cache flush SRV, cache flush 0 0 8080 Philips-hue.local A, cache flush 192.168.100.118 AAAA, cache flush fe80::217:88ff:fe75:b382 A, cache flush 192.168.100.118 AAAA, cache flush fe80::217:88ff:fe75:b382"
90,388.751715,192.168.100.118,239.255.255.250,SSDP,354,NOTIFY * HTTP/1.1 
91,388.80317,192.168.100.118,239.255.255.250,SSDP,354,NOTIFY * HTTP/1.1 
92,388.854651,192.168.100.118,239.255.255.250,SSDP,363,NOTIFY * HTTP/1.1 
93,388.905863,192.168.100.118,239.255.255.250,SSDP,363,NOTIFY * HTTP/1.1 
94,388.957099,192.168.100.118,239.255.255.250,SSDP,357,NOTIFY * HTTP/1.1 
95,389.008554,192.168.100.118,239.255.255.250,SSDP,357,NOTIFY * HTTP/1.1 
96,389.350875,192.168.100.118,224.0.0.251,MDNS,459,"Standard query response 0x0000 PTR Philips hue - 75B382._hap._tcp.local TXT, cache flush SRV, cache flush 0 0 8080 Philips-hue.local A, cache flush 192.168.100.118 AAAA, cache flush fe80::217:88ff:fe75:b382 A, cache flush 192.168.100.118 AAAA, cache flush fe80::217:88ff:fe75:b382"
97,389.350912,fe80::217:88ff:fe75:b382,ff02::fb,MDNS,479,"Standard query response 0x0000 PTR Philips hue - 75B382._hap._tcp.local TXT, cache flush SRV, cache flush 0 0 8080 Philips-hue.local A, cache flush 192.168.100.118 AAAA, cache flush fe80::217:88ff:fe75:b382 A, cache flush 192.168.100.118 AAAA, cache flush fe80::217:88ff:fe75:b382"
98,390.351046,192.168.100.118,224.0.0.251,MDNS,459,"Standard query response 0x0000 PTR Philips hue - 75B382._hap._tcp.local TXT, cache flush SRV, cache flush 0 0 8080 Philips-hue.local A, cache flush 192.168.100.118 AAAA, cache flush fe80::217:88ff:fe75:b382 A, cache flush 192.168.100.118 AAAA, cache flush fe80::217:88ff:fe75:b382"
99,390.351077,fe80::217:88ff:fe75:b382,ff02::fb,MDNS,479,"Standard query response 0x0000 PTR Philips hue - 75B382._hap._tcp.local TXT, cache flush SRV, cache flush 0 0 8080 Philips-hue.local A, cache flush 192.168.100.118 AAAA, cache flush fe80::217:88ff:fe75:b382 A, cache flush 192.168.100.118 AAAA, cache flush fe80::217:88ff:fe75:b382"
100,390.544684,PhilipsLight_75:b3:82,Broadcast,ARP,60,Who has 192.168.100.1? Tell 192.168.100.118
101,390.544919,Ubiquiti_43:93:d5,PhilipsLight_75:b3:82,ARP,60,192.168.100.1 is at 78:8a:20:43:93:d5
102,390.544926,192.168.100.118,192.168.100.1,DNS,82,Standard query 0x0092 AAAA 3.openwrt.pool.ntp.org
103,390.577658,192.168.100.1,192.168.100.118,DNS,137,Standard query response 0x0092 AAAA 3.openwrt.pool.ntp.org SOA f.ntpns.org
104,390.578404,192.168.100.118,192.168.100.1,DNS,82,Standard query 0x0093 A 3.openwrt.pool.ntp.org
105,390.611888,192.168.100.1,192.168.100.118,DNS,146,Standard query response 0x0093 A 3.openwrt.pool.ntp.org A 185.189.115.149 A 91.216.168.42 A 5.1.56.123 A 217.30.75.147
106,390.612385,192.168.100.118,185.189.115.149,NTP,90,"NTP Version 4, client"
107,390.612881,192.168.100.118,192.168.100.1,DNS,82,Standard query 0x0094 AAAA 2.openwrt.pool.ntp.org
108,390.644878,192.168.100.1,192.168.100.118,DNS,194,Standard query response 0x0094 AAAA 2.openwrt.pool.ntp.org AAAA 2001:41d0:a:382c::1 AAAA 2a02:8300:8000:4:214:5eff:fe7e:4bfc AAAA 2001:15e8:110:10bd::123 AAAA 2a02:2b88:2:1::5382:1
109,390.645617,192.168.100.118,192.168.100.1,DNS,82,Standard query 0x0095 A 2.openwrt.pool.ntp.org
110,390.648616,185.189.115.149,192.168.100.118,NTP,90,"NTP Version 4, server"
111,391.017158,192.168.100.1,192.168.100.118,DNS,146,Standard query response 0x0095 A 2.openwrt.pool.ntp.org A 80.211.195.36 A 147.231.100.5 A 94.124.107.190 A 78.108.102.237
112,391.017654,192.168.100.118,80.211.195.36,NTP,90,"NTP Version 4, client"
113,391.018151,192.168.100.118,192.168.100.1,DNS,82,Standard query 0x0096 AAAA 1.openwrt.pool.ntp.org
114,391.023659,80.211.195.36,192.168.100.118,NTP,90,"NTP Version 4, server"
115,391.052638,192.168.100.1,192.168.100.118,DNS,137,Standard query response 0x0096 AAAA 1.openwrt.pool.ntp.org SOA f.ntpns.org
116,391.053383,192.168.100.118,192.168.100.1,DNS,82,Standard query 0x0097 A 1.openwrt.pool.ntp.org
117,391.099113,192.168.100.1,192.168.100.118,DNS,146,Standard query response 0x0097 A 1.openwrt.pool.ntp.org A 88.208.76.68 A 217.30.75.147 A 81.2.254.32 A 89.221.212.46
118,391.099608,192.168.100.118,88.208.76.68,NTP,90,"NTP Version 4, client"
119,391.100105,192.168.100.118,192.168.100.1,DNS,82,Standard query 0x0098 AAAA 0.openwrt.pool.ntp.org
120,391.108605,88.208.76.68,192.168.100.118,NTP,90,"NTP Version 4, server"
121,394.210322,fe80::5bcc:698e:39d5:cdf,ff02::fb,MDNS,107,"Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
122,395.58307,Ubiquiti_43:93:d5,PhilipsLight_75:b3:82,ARP,60,Who has 192.168.100.118? Tell 192.168.100.1
123,395.583078,PhilipsLight_75:b3:82,Ubiquiti_43:93:d5,ARP,60,192.168.100.118 is at 00:17:88:75:b3:82
124,396.104758,192.168.100.118,192.168.100.1,DNS,82,Standard query 0x0099 AAAA 0.openwrt.pool.ntp.org
125,396.137489,192.168.100.1,192.168.100.118,DNS,137,Standard query response 0x0099 AAAA 0.openwrt.pool.ntp.org SOA f.ntpns.org
126,396.137985,192.168.100.118,192.168.100.1,DNS,82,Standard query 0x009a A 0.openwrt.pool.ntp.org
127,396.171219,192.168.100.1,192.168.100.118,DNS,146,Standard query response 0x009a A 0.openwrt.pool.ntp.org A 37.187.104.44 A 89.221.214.130 A 81.2.248.189 A 81.2.254.32
128,396.171715,192.168.100.118,37.187.104.44,NTP,90,"NTP Version 4, client"
129,397.173413,192.168.100.118,185.189.115.149,NTP,90,"NTP Version 4, client"
130,397.173642,192.168.100.118,80.211.195.36,NTP,90,"NTP Version 4, client"
131,397.179395,80.211.195.36,192.168.100.118,NTP,90,"NTP Version 4, server"
132,397.203881,185.189.115.149,192.168.100.118,NTP,90,"NTP Version 4, server"
133,398.204812,192.168.100.118,88.208.76.68,NTP,90,"NTP Version 4, client"
134,398.209807,88.208.76.68,192.168.100.118,NTP,90,"NTP Version 4, server"
135,398.916864,0.0.0.0,255.255.255.255,DHCP,356,DHCP Discover - Transaction ID 0xdd23dd39
136,399.211487,192.168.100.118,185.189.115.149,NTP,90,"NTP Version 4, client"
137,399.211734,192.168.100.118,80.211.195.36,NTP,90,"NTP Version 4, client"
138,399.239723,185.189.115.149,192.168.100.118,NTP,90,"NTP Version 4, server"
139,400.2414,192.168.100.118,88.208.76.68,NTP,90,"NTP Version 4, client"
140,400.246147,88.208.76.68,192.168.100.118,NTP,90,"NTP Version 4, server"
141,401.247829,192.168.100.118,185.189.115.149,NTP,90,"NTP Version 4, client"
142,401.248069,192.168.100.118,88.208.76.68,NTP,90,"NTP Version 4, client"
143,401.275828,185.189.115.149,192.168.100.118,NTP,90,"NTP Version 4, server"
144,402.277505,192.168.100.118,185.189.115.149,NTP,90,"NTP Version 4, client"
145,402.307722,185.189.115.149,192.168.100.118,NTP,90,"NTP Version 4, server"
146,404.308847,192.168.100.118,185.189.115.149,NTP,90,"NTP Version 4, client"
147,404.337065,185.189.115.149,192.168.100.118,NTP,90,"NTP Version 4, server"
148,405.338004,192.168.100.118,185.189.115.149,NTP,90,"NTP Version 4, client"
149,405.365472,185.189.115.149,192.168.100.118,NTP,90,"NTP Version 4, server"
150,405.495902,fe80::66db:8bff:fe21:4ccf,ff02::fb,MDNS,754,"Standard query response 0x0000 TXT, cache flush PTR _http._tcp.local PTR HIKVISION DS-2CD2020F-I - 154590743._http._tcp.local TXT, cache flush PTR _psia._tcp.local PTR HIKVISION DS-2CD2020F-I - 154590743._psia._tcp.local TXT, cache flush PTR _CGI._tcp.local PTR HIKVISION DS-2CD2020F-I - 154590743._CGI._tcp.local SRV, cache flush 0 0 80 DS-2CD2020F-I20171222AAWR154590743.local SRV, cache flush 0 0 80 DS-2CD2020F-I20171222AAWR154590743.local SRV, cache flush 0 0 80 DS-2CD2020F-I20171222AAWR154590743.local PTR, cache flush DS-2CD2020F-I20171222AAWR154590743.local PTR, cache flush DS-2CD2020F-I20171222AAWR154590743.local A, cache flush 192.168.100.64 AAAA, cache flush fe80::66db:8bff:fe21:4ccf NSEC, cache flush HIKVISION DS-2CD2020F-I - 154590743._http._tcp.local NSEC, cache flush HIKVISION DS-2CD2020F-I - 154590743._psia._tcp.local NSEC, cache flush HIKVISION DS-2CD2020F-I - 154590743._CGI._tcp.local NSEC, cache flush 64.100.168.192.in-addr.arpa NSEC, cache flush F.C.C.4.1.2.E.F.F.F.B.8.B.D.6.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush DS-2CD2020F-I20171222AAWR154590743.local"
151,406.367153,192.168.100.118,185.189.115.149,NTP,90,"NTP Version 4, client"
152,406.394901,185.189.115.149,192.168.100.118,NTP,90,"NTP Version 4, server"
153,406.819903,::,ff02::16,ICMPv6,130,Multicast Listener Report Message v2
154,406.895898,::,ff02::16,ICMPv6,130,Multicast Listener Report Message v2
155,406.951906,0.0.0.0,255.255.255.255,DHCP,356,DHCP Discover - Transaction ID 0x36399730
156,407.103879,::,ff02::16,ICMPv6,90,Multicast Listener Report Message v2
157,407.39191,::,ff02::1:ffd5:cdf,ICMPv6,86,Neighbor Solicitation for fe80::5bcc:698e:39d5:cdf
158,408.397506,192.168.100.118,185.189.115.149,NTP,90,"NTP Version 4, client"
159,408.415939,fe80::5bcc:698e:39d5:cdf,ff02::16,ICMPv6,90,Multicast Listener Report Message v2
160,408.42649,185.189.115.149,192.168.100.118,NTP,90,"NTP Version 4, server"
